event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Texas-6,Texas,2015-05-26 05:30:00,2015-05-27 19:00:00,Severe Weather,48113,Texas,Dallas,2015-05-29 05:00:00,25.75,2015-05-30 06:45:00,331,17311,3794.5145631067962
Texas-2,Texas,2015-04-17 21:30:00,2015-04-19 23:50:00,Severe Weather,48113,Texas,Dallas,2015-04-19 00:45:00,23.75,2015-04-20 00:30:00,312,7485,1649.1473684210525
Texas-3,Texas,2015-04-18 21:00:00,2015-04-21 04:00:00,Severe Weather,48113,Texas,Dallas,2015-04-19 00:45:00,23.75,2015-04-20 00:30:00,312,7485,1649.1473684210525
Texas-5,Texas,2015-05-25 20:30:00,2015-05-26 18:30:00,Severe Weather,48113,Texas,Dallas,2015-05-27 19:00:00,15.5,2015-05-28 10:30:00,200,5933,2098.6612903225805
Texas-5,Texas,2015-05-25 20:30:00,2015-05-25 20:30:00,Severe Weather,48113,Texas,Dallas,2015-05-27 19:00:00,15.5,2015-05-28 10:30:00,200,5933,2098.6612903225805
Texas-6,Texas,2015-05-26 05:30:00,2015-05-27 19:00:00,Severe Weather,48113,Texas,Dallas,2015-05-27 19:00:00,15.5,2015-05-28 10:30:00,200,5933,2098.6612903225805
Texas-4,Texas,2015-04-24 19:10:00,2015-04-26 16:00:00,Severe Weather,48113,Texas,Dallas,2015-04-25 00:15:00,15.25,2015-04-25 15:30:00,470,6692,2502.1311475409834
Texas-5,Texas,2015-05-25 20:30:00,2015-05-26 18:30:00,Severe Weather,48113,Texas,Dallas,2015-05-27 00:15:00,13.5,2015-05-27 13:45:00,215,23536,11689.0
Texas-5,Texas,2015-05-25 20:30:00,2015-05-25 20:30:00,Severe Weather,48113,Texas,Dallas,2015-05-27 00:15:00,13.5,2015-05-27 13:45:00,215,23536,11689.0
Texas-6,Texas,2015-05-26 05:30:00,2015-05-27 19:00:00,Severe Weather,48113,Texas,Dallas,2015-05-27 00:15:00,13.5,2015-05-27 13:45:00,215,23536,11689.0
Texas-3,Texas,2017-08-25 18:30:00,2017-09-05 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-5,Texas,2017-08-26 06:26:00,2017-09-08 00:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-12,Texas,2017-08-27 05:10:00,2017-09-08 00:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-9,Texas,2017-08-25 18:17:00,2017-09-02 17:00:00,Severe Weather,48201,Texas,Harris,2017-08-28 12:15:00,100.75,2017-09-01 17:00:00,210.0,1089.0,506.46401985111663
Texas-8,Texas,2018-05-26 18:40:00,2018-05-27 23:50:00,Severe Weather,48201,Texas,Harris,2018-05-27 14:15:00,43.25,2018-05-29 09:30:00,207.0,8650.0,1309.763005780347
Texas-10,Texas,2018-10-31 19:30:00,2018-11-01 18:55:00,Severe Weather,48201,Texas,Harris,2018-11-03 13:30:00,21.0,2018-11-04 10:30:00,201.0,6701.0,1063.547619047619
Texas-1,Texas,2018-01-15 04:20:00,2018-01-18 05:48:00,Severe Weather,48201,Texas,Harris,2018-01-15 22:00:00,17.0,2018-01-16 15:00:00,210.0,7859.0,620.6617647058823
Texas-1,Texas,2018-01-15 04:20:00,2018-01-18 05:48:00,Severe Weather,48201,Texas,Harris,2018-01-16 22:15:00,16.0,2018-01-17 14:15:00,368.0,5641.0,1616.046875
Texas-2,Texas,2018-01-16 13:57:00,2018-01-16 14:32:00,Severe Weather,48201,Texas,Harris,2018-01-16 22:15:00,16.0,2018-01-17 14:15:00,368.0,5641.0,1616.046875
Texas-1,Texas,2018-01-15 04:20:00,2018-01-18 05:48:00,Severe Weather,48201,Texas,Harris,2018-01-18 20:15:00,12.25,2018-01-19 08:30:00,206.0,732.0,389.61224489795916
Texas-2,Texas,2018-01-16 13:57:00,2018-01-16 14:32:00,Severe Weather,48201,Texas,Harris,2018-01-18 20:15:00,12.25,2018-01-19 08:30:00,206.0,732.0,389.61224489795916
Texas-3,Texas,2018-01-18 05:00:00,2018-01-18 11:00:00,Severe Weather,48201,Texas,Harris,2018-01-18 20:15:00,12.25,2018-01-19 08:30:00,206.0,732.0,389.61224489795916
Texas-8,Texas,2018-05-26 18:40:00,2018-05-27 23:50:00,Severe Weather,48201,Texas,Harris,2018-05-29 18:15:00,12.25,2018-05-30 06:30:00,206.0,2468.0,474.14285714285717
Texas-4,Texas,2018-04-14 09:30:00,2018-04-14 10:00:00,Severe Weather,48201,Texas,Harris,2018-04-16 13:15:00,11.0,2018-04-17 00:15:00,200.0,4005.0,959.1363636363636
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-20,Texas,2019-10-20 22:15:00,2019-10-25 02:00:00,Severe Weather,48113,Texas,Dallas,2019-10-21 02:15:00,124.5,2019-10-26 06:45:00,267.0,83944.0,20299.793172690763
Texas-23,Texas,2020-07-12 04:30:00,2020-07-13 05:00:00,Severe Weather,48201,Texas,Harris,2020-07-12 13:30:00,54.0,2020-07-14 19:30:00,212.0,3391.0,947.8333333333334
Texas-23,Texas,2020-07-12 04:30:00,2020-07-13 05:00:00,Severe Weather,48201,Texas,Harris,2020-07-12 13:30:00,54.0,2020-07-14 19:30:00,212.0,3391.0,947.8333333333334
Texas-23,Texas,2020-07-12 04:30:00,2020-07-13 05:00:00,Severe Weather,48201,Texas,Harris,2020-07-12 13:30:00,54.0,2020-07-14 19:30:00,212.0,3391.0,947.8333333333334
Texas-23,Texas,2020-07-12 04:30:00,2020-07-13 05:00:00,Severe Weather,48201,Texas,Harris,2020-07-12 13:30:00,54.0,2020-07-14 19:30:00,212.0,3391.0,947.8333333333334
Texas-23,Texas,2020-07-12 04:30:00,2020-07-13 05:00:00,Severe Weather,48201,Texas,Harris,2020-07-12 13:30:00,54.0,2020-07-14 19:30:00,212.0,3391.0,947.8333333333334
Texas-2,Texas,2020-05-27 17:20:00,2020-05-27 17:20:00,Severe Weather,48201,Texas,Harris,2020-05-28 05:15:00,48.0,2020-05-30 05:15:00,269.0,29245.0,5331.546875
Texas-32,Texas,2020-05-27 17:15:00,2020-05-29 06:30:00,Severe Weather,48201,Texas,Harris,2020-05-28 05:15:00,48.0,2020-05-30 05:15:00,269.0,29245.0,5331.546875
Texas-14,Texas,2020-08-16 20:00:00,2020-08-18 21:00:00,Severe Weather,48113,Texas,Dallas,2020-08-16 21:00:00,43.25,2020-08-18 16:15:00,222.0,50830.0,10849.763005780347
Texas-14,Texas,2020-08-16 20:00:00,2020-08-18 21:00:00,Severe Weather,48113,Texas,Dallas,2020-08-16 21:00:00,43.25,2020-08-18 16:15:00,222.0,50830.0,10849.763005780347
Texas-14,Texas,2020-08-16 20:00:00,2020-08-18 21:00:00,Severe Weather,48113,Texas,Dallas,2020-08-16 21:00:00,43.25,2020-08-18 16:15:00,222.0,50830.0,10849.763005780347
Texas-1,Texas,2021-02-10 15:00:00,2021-02-23 15:00:00,Severe Weather,48113,Texas,Dallas,2021-02-14 09:15:00,102.0,2021-02-18 15:15:00,299.0,358650.0,156770.38725490196
Texas-3,Texas,2021-02-13 13:30:00,2021-02-20 08:00:00,Severe Weather,48113,Texas,Dallas,2021-02-14 09:15:00,102.0,2021-02-18 15:15:00,299.0,358650.0,156770.38725490196
Texas-4,Texas,2021-02-14 08:30:00,2021-02-19 18:00:00,Severe Weather,48113,Texas,Dallas,2021-02-14 09:15:00,102.0,2021-02-18 15:15:00,299.0,358650.0,156770.38725490196
Texas-4,Texas,2021-02-14 08:30:00,2021-02-19 18:00:00,Severe Weather,48113,Texas,Dallas,2021-02-14 09:15:00,102.0,2021-02-18 15:15:00,299.0,358650.0,156770.38725490196
Texas-1,Texas,2021-02-10 15:00:00,2021-02-23 15:00:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-3,Texas,2021-02-13 13:30:00,2021-02-20 08:00:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-4,Texas,2021-02-14 08:30:00,2021-02-19 18:00:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-4,Texas,2021-02-14 08:30:00,2021-02-19 18:00:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-8,Texas,2021-02-15 01:20:00,2021-02-19 09:00:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-9,Texas,2021-02-15 01:23:00,2021-02-19 05:30:00,Severe Weather,48113,Texas,Dallas,2021-02-18 15:30:00,69.0,2021-02-21 12:30:00,222.0,33163.0,10455.384057971014
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-8,Texas,2022-09-04 16:00:00,2022-09-06 08:00:00,Severe Weather,48113,Texas,Dallas,2022-09-04 20:00:00,57.75,2022-09-07 05:45:00,295,120548,29146.428571428572
Texas-32,Texas,2022-08-10 19:56:00,2022-08-11 20:00:00,Severe Weather,48201,Texas,Harris,2022-08-10 22:45:00,35.0,2022-08-12 09:45:00,206,40873,7324.371428571429
Texas-0,Texas,2023-01-25 03:30:00,2023-01-25 13:00:00,Severe Weather,48201,Texas,Harris,2023-01-25 23:30:00,52.75,2023-01-28 04:15:00,332,6751,2074.2274881516587
Texas-33,Texas,2023-01-24 15:25:00,2023-01-26 20:20:00,Severe Weather,48201,Texas,Harris,2023-01-25 23:30:00,52.75,2023-01-28 04:15:00,332,6751,2074.2274881516587
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
Texas-10,Texas,2023-03-02 19:00:00,2023-03-04 23:00:00,Severe Weather,48113,Texas,Dallas,2023-03-03 00:30:00,49.25,2023-03-05 01:45:00,218,105907,18271.51776649746
